snapped_at,price,market_cap,total_volume
2013-08-03 00:00:00 UTC,108.5381,1248009062,0
2013-08-04 00:00:00 UTC,108.4731,1247711833,0
2013-08-05 00:00:00 UTC,108.8077,1252052924,0
2013-08-06 00:00:00 UTC,108.8823,1253436705,0
2013-08-07 00:00:00 UTC,107.8706,1242000514,0
2013-08-08 00:00:00 UTC,105.461,1215248195,0
2013-08-09 00:00:00 UTC,102.6093,1182913358,0
2013-08-10 00:00:00 UTC,101.5095,1170759818,0
2013-08-11 00:00:00 UTC,102.322,1180670536,0
2013-08-12 00:00:00 UTC,103.4119,1193856776,0
2013-08-13 00:00:00 UTC,107.1622,1237645718,0
2013-08-14 00:00:00 UTC,107.5889,1243017597,0
2013-08-15 00:00:00 UTC,106.9752,1236371222,0
2013-08-16 00:00:00 UTC,107.5359,1243305880,0
2013-08-17 00:00:00 UTC,108.43,1254163728,0
2013-08-18 00:00:00 UTC,107.6094,1245186031,0
2013-08-19 00:00:00 UTC,111.3646,1289159394,0
2013-08-20 00:00:00 UTC,114.903,1330625573,0
2013-08-21 00:00:00 UTC,122.9499,1424439140,0
2013-08-22 00:00:00 UTC,122.1637,1415971960,0
2013-08-23 00:00:00 UTC,119.2966,1383360391,0
2013-08-24 00:00:00 UTC,120.4463,1397252359,0
2013-08-25 00:00:00 UTC,123.8268,1436948101,0
2013-08-26 00:00:00 UTC,124.2864,1442753817,0
2013-08-27 00:00:00 UTC,130.1317,1511183646,0
2013-08-28 00:00:00 UTC,131.5816,1528570289,0
2013-08-29 00:00:00 UTC,131.6898,1530472518,0
2013-08-30 00:00:00 UTC,138.3439,1608486481,0
2013-08-31 00:00:00 UTC,145.4352,1691684067,0
2013-09-01 00:00:00 UTC,143.7707,1673138709,0
2013-09-02 00:00:00 UTC,141.6128,1648861556,0
2013-09-03 00:00:00 UTC,141.0811,1643298545,0
2013-09-04 00:00:00 UTC,131.5975,1533439869,0
2013-09-05 00:00:00 UTC,132.0324,1539045573,0
2013-09-06 00:00:00 UTC,126.7753,1478386992,0
2013-09-07 00:00:00 UTC,129.6101,1511947181,0
2013-09-08 00:00:00 UTC,126.7473,1479033256,0
2013-09-09 00:00:00 UTC,130.0503,1518210453,0
2013-09-10 00:00:00 UTC,130.6074,1525324642,0
2013-09-11 00:00:00 UTC,134.5274,1571750878,0
2013-09-12 00:00:00 UTC,135.787,1587190481,0
2013-09-13 00:00:00 UTC,136.8346,1600140392,0
2013-09-14 00:00:00 UTC,134.1953,1570007848,0
2013-09-15 00:00:00 UTC,133.9366,1567627450,0
2013-09-16 00:00:00 UTC,134.0639,1569683822,0
2013-09-17 00:00:00 UTC,134.714,1577884875,0
2013-09-18 00:00:00 UTC,133.3195,1562037922,0
2013-09-19 00:00:00 UTC,131.3714,1539863296,0
2013-09-20 00:00:00 UTC,130.688,1532454022,0
2013-09-21 00:00:00 UTC,130.4781,1530592924,0
2013-09-22 00:00:00 UTC,130.6918,1533782629,0
2013-09-23 00:00:00 UTC,129.6427,1522183557,0
2013-09-24 00:00:00 UTC,130.5454,1533471122,0
2013-09-25 00:00:00 UTC,131.8606,1549609288,0
2013-09-26 00:00:00 UTC,131.8744,1550338525,0
2013-09-27 00:00:00 UTC,132.4234,1557385259,0
2013-09-28 00:00:00 UTC,133.7637,1573706522,0
2013-09-29 00:00:00 UTC,134.2544,1580050103,0
2013-09-30 00:00:00 UTC,131.908,1552979266,0
2013-10-01 00:00:00 UTC,133.6391,1574028048,0
2013-10-02 00:00:00 UTC,106.3846,1253468571,0
2013-10-03 00:00:00 UTC,124.4432,1466933330,0
2013-10-04 00:00:00 UTC,128.5644,1516076402,0
2013-10-05 00:00:00 UTC,128.4087,1514911269,0
2013-10-06 00:00:00 UTC,129.0116,1522681986,0
2013-10-07 00:00:00 UTC,130.8239,1544578917,0
2013-10-08 00:00:00 UTC,131.9354,1558223042,0
2013-10-09 00:00:00 UTC,133.2012,1573768848,0
2013-10-10 00:00:00 UTC,133.0194,1572292633,0
2013-10-11 00:00:00 UTC,132.6108,1568046459,0
2013-10-12 00:00:00 UTC,133.6339,1580782130,0
2013-10-13 00:00:00 UTC,138.0412,1633714151,0
2013-10-14 00:00:00 UTC,140.2431,1660653608,0
2013-10-15 00:00:00 UTC,145.4511,1723246452,0
2013-10-16 00:00:00 UTC,143.858,1705184839,0
2013-10-17 00:00:00 UTC,148.3389,1758950758,0
2013-10-18 00:00:00 UTC,154.6666,1834635875,0
2013-10-19 00:00:00 UTC,165.1777,1960250484,0
2013-10-20 00:00:00 UTC,168.6819,2002747547,0
2013-10-21 00:00:00 UTC,180.379,2142532744,0
2013-10-22 00:00:00 UTC,189.576,2252954360,0
2013-10-23 00:00:00 UTC,208.5551,2479610647,0
2013-10-24 00:00:00 UTC,190.3891,2264621228,0
2013-10-25 00:00:00 UTC,185.8256,2211459364,0
2013-10-26 00:00:00 UTC,183.534,2185100744,0
2013-10-27 00:00:00 UTC,193.7095,2307118887,0
2013-10-28 00:00:00 UTC,196.334,2339241076,0
2013-10-29 00:00:00 UTC,208.9339,2490178687,0
2013-10-30 00:00:00 UTC,205.2847,2447701856,0
2013-10-31 00:00:00 UTC,209.4737,2498796057,0
2013-11-01 00:00:00 UTC,210.15,2507872309,0
2013-11-02 00:00:00 UTC,212.5248,2537381405,0
2013-11-03 00:00:00 UTC,219.5448,2622297977,0
2013-11-04 00:00:00 UTC,236.8848,2830542397,0
2013-11-05 00:00:00 UTC,251.8305,3010205516,0
2013-11-06 00:00:00 UTC,266.3404,3184745357,0
2013-11-07 00:00:00 UTC,299.5259,3582666731,0
2013-11-08 00:00:00 UTC,344.9844,4127557230,0
2013-11-09 00:00:00 UTC,358.1917,4286847220,0
2013-11-10 00:00:00 UTC,332.3846,3979399837,0
2013-11-11 00:00:00 UTC,355.4638,4257416592,0
2013-11-12 00:00:00 UTC,375.6085,4500512876,0
2013-11-13 00:00:00 UTC,420.1051,5035516262,0
2013-11-14 00:00:00 UTC,440.9272,5287080893,0
2013-11-15 00:00:00 UTC,436.7548,5238819232,0
2013-11-16 00:00:00 UTC,457.7008,5492329502,0
2013-11-17 00:00:00 UTC,507.9924,6098220165,0
